mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	1	6/8	1/8	5/8			1			firstMeasure	2
2	1	1	6/8	3/4	0							3
3	2	1	6/8	3/4	0							4
4	3	1	6/8	3/4	0							5
5	4	1	6/8	3/4	0					line		6
6	5	1	6/8	3/4	0							7
7	6	1	6/8	3/4	0							8
8	7	1	6/8	3/4	0							9
9	8	1	6/8	3/4	0					line		10
10	9	1	6/8	3/4	0							11
11	10	1	6/8	3/4	0							12
12	11	1	6/8	3/4	0							13
13	12	1	6/8	3/4	0					line		14
14	13	1	6/8	3/4	0							15
15	14	1	6/8	3/4	0							16
16	15	1	6/8	3/4	0							17
17	16	1	6/8	3/4	0							18
18	17	1	6/8	3/4	0					page		19
19	18	1	6/8	3/4	0							20
20	19	1	6/8	3/4	0							21
21	20	1	6/8	3/4	0							22
22	21	1	6/8	3/4	0							23
23	22	1	6/8	3/4	0					line		24
24	23	1	6/8	3/4	0							25
25	24	1	6/8	3/4	0							26
26	25	1	6/8	3/4	0							27
27	26	1	6/8	3/4	0							28
28	27	1	6/8	3/4	0					line		29
29	28	1	6/8	3/4	0							30
30	29	1	6/8	3/4	0							31
31	30	1	6/8	3/4	0							32
32	31	1	6/8	3/4	0							33
33	32	1	6/8	3/4	0					line		34
34	33	1	6/8	3/4	0							35
35	34	1	6/8	3/4	0							36
36	35	1	6/8	3/4	0							37
37	36	1	6/8	3/4	0							38
38	37	1	6/8	3/4	0							39
39	38	1	6/8	3/4	0							40
40	39	1	6/8	5/8	0				end		lastMeasure	-1
